*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=AnalogSignalGenerator
*Date=10:45:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
402;;;24.0284;-44.2723;0;Bottom;Copper Fill174
403;;;79.9036;-47.8899;0;Bottom;Via108
404;;;45.5931;-33.8837;0;Bottom;Copper Fill203
405;;;24.003;-66.9545;0;Bottom;Copper Fill142
406;;;32.8931;-23.4443;0;Bottom;Copper Fill64
407;;;31.3183;-34.8489;0;Bottom;Copper Fill55
408;;;25.8318;-78.3846;0;Bottom;Copper Fill4
409;;;48.1536;-82.1798;0;Bottom;Via31
410;;;105.817;-8.07728;0;Bottom;Copper Fill235
411;220;0805 [SMD];41.5587;-9.15476;0;Top;RL8
412;;;57.6073;-16.2561;0;Bottom;Copper Fill232
413;;;100.229;-65.6591;0;Bottom;Copper Fill144
414;;THT;68.4737;-63.8777;0;Bottom;Analog In 1
415;;;69.0881;-74.2698;0;Bottom;Copper Fill13
416;10nF;0805 [SMD, multilayer];87.8838;-39.8947;180;Top;B4.C1
417;;;21.4837;-9.7899;0;Bottom;Via28
418;;;23.5458;-73.1522;0;Bottom;Copper Fill14
419;;1206 [SMD];10.0537;-3.71984;-90;Top;Power A1
420;;;84.3154;-48.4379;0;Bottom;Copper Fill287
421;100nF;0603 [SMD, multilayer];46.8838;-56.5649;-90;Top;BUF1
422;;;41.9863;-26.4415;0;Bottom;Copper Fill215
423;;;58.9789;-5.02928;0;Bottom;Copper Fill75
424;;;18.3134;-56.2103;0;Bottom;Copper Fill143
425;;;42.4435;-1.32088;0;Bottom;Copper Fill262
426;;;39.9543;-49.1491;0;Bottom;Copper Fill168
427;1M;0805 [SMD];45.6137;-17.0197;-90;Bottom;R30
428;;;29.7434;-78.6894;0;Bottom;Copper Fill5
429;;;79.2686;-32.6499;0;Bottom;Via88
430;;;19.5834;-65.6845;0;Bottom;Copper Fill31
431;;;76.6827;-19.7867;0;Bottom;Copper Fill69
432;;;76.035;-90.3226;0;Bottom;Copper Fill304
433;;;25.9334;-55.8293;0;Bottom;Copper Fill158
434;;THT;100.224;-42.8098;180;Bottom;Power Supply
435;;;12.1412;-49.4285;0;Bottom;Copper Fill169
436;;;100.229;-55.5245;0;Bottom;Copper Fill167
437;1M;0805 [SMD];25.2937;-17.1648;-90;Bottom;R2
438;;;72.5679;-25.6795;0;Bottom;Copper Fill221
439;;;97.9933;-45.644;0;Bottom;Copper Fill163
440;;;13.335;-52.3241;0;Bottom;Copper Fill43
441;;;31.6436;-61.2249;0;Bottom;Via39
442;;;21.0312;-84.0742;0;Bottom;Copper Fill109
443;;;88.735;-48.4379;0;Bottom;Copper Fill294
444;;;36.7236;-7.8849;0;Bottom;Via95
445;;;30.5817;-1.34628;0;Bottom;Copper Fill255
446;;;29.1073;-2.19163;0;Bottom;Via34
