*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=HighVoltageAmplifier
*Date=10:32:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
204;;;18.3091;-38.3647;0;Bottom;Via110
205;;;2.11657;-63.7647;0;Bottom;Via103
206;;;39.2642;-95.1972;0;Bottom;Via294
207;;;59.564;-22.477;0;Bottom;Via157
208;;;80.2132;-16.1546;0;Bottom;Copper Fill207
209;;;85.594;-89.5275;0;Top;blkr40
210;100nF;0805 [SMD, multilayer];59.5117;-96.7846;0;Bottom;C149
211;;;61.4892;-59.3197;0;Bottom;Via251
212;;;1.16407;-66.3046;0;Bottom;Via101
213;;;83.693;-74.6127;0;Bottom;Copper Fill223
214;;;65.7711;-23.3849;0;Bottom;blkr25
215;;;28.1432;-16.1292;0;Bottom;Copper Fill203
216;220;2512 [SMD];76.7867;-89.7996;180;Top;R89
217;100nF;0805 [SMD, multilayer];54.4317;-92.3396;0;Bottom;C144
218;;;63.4789;-13.6604;90;Top;blkr16
219;;;27.1774;-40.2886;0;Bottom;Via245
220;;;91.7448;-71.7679;0;Bottom;Copper Fill239
221;220;0805 [SMD];41.5374;-58.0687;0;Top;R2
222;;;77.4954;-17.6532;0;Bottom;Copper Fill202
223;adjustable;sot223;66.6455;-62.2298;-90;Top;T1
224;;;30.5562;-89.7384;0;Bottom;Copper Fill123
225;0.47µF;0805 [SMD, multilayer];22.1191;-56.5346;-90;Top;C2
226;;;67.5078;-38.3506;0;Bottom;Via256
227;;;101.435;-17.7294;0;Bottom;Copper Fill35
228;;THT;100.859;-76.4646;-90;Bottom;J15
229;;;38.3117;-10.1072;0;Bottom;Via140
230;;;89.7466;-64.0822;0;Bottom;Via240
231;;;6.0198;-73.3046;0;Bottom;Copper Fill136
232;;;31.6738;-22.6824;0;Bottom;Copper Fill182
233;;1206 [SMD];49.4242;-3.47724;-90;Top;Gen 3
234;;;8.0264;-27.7624;0;Bottom;Copper Fill189
235;;;36.5252;-89.0018;0;Bottom;Copper Fill122
236;;;63.3349;-66.345;0;Bottom;Copper Fill57
